PlayerID,MatchesPlayed,Starts,MinutesPlayed,Nineties,Goals,Assists,GoalsAssists,NonPenaltyGoals,PenaltyGoals,PenaltyAttempts,YellowCards,RedCards
1,37,30,2449,27.2,4,5,9,4,0,0,3,0
2,1,0,17,0.2,0,0,0,0,0,0,0,0
3,3,2,164,1.8,0,0,0,0,0,0,0,0
4,12,2,286,3.2,2,0,2,2,0,0,0,0
5,17,8,666,7.4,1,0,1,1,0,0,1,0
6,25,21,1773,19.7,2,2,4,2,0,0,8,0
7,16,8,795,8.8,0,0,0,0,0,0,2,0
8,14,9,653,7.3,1,0,1,1,0,0,2,0
9,31,10,1093,12.1,3,1,4,3,0,0,2,0
10,14,12,1101,12.2,0,0,0,0,0,0,1,1
11,2,2,180,2.0,0,0,0,0,0,0,0,0
12,18,18,1588,17.6,0,0,0,0,0,0,3,0
13,17,12,974,10.8,0,2,2,0,0,0,2,0
14,27,20,1810,20.1,0,1,1,0,0,0,4,0
15,18,6,695,7.7,0,0,0,0,0,0,1,0
16,20,6,689,7.7,0,1,1,0,0,0,4,0
17,33,32,2798,31.1,1,1,2,1,0,0,6,0
18,26,26,2340,26.0,0,0,0,0,0,0,1,0
19,2,2,135,1.5,0,0,0,0,0,0,0,0
20,1,0,10,0.1,0,0,0,0,0,0,0,0
21,4,0,73,0.8,0,0,0,0,0,0,0,0
22,35,35,3119,34.7,1,1,2,1,0,0,10,0
23,33,33,2875,31.9,0,1,1,0,0,0,7,1
24,38,37,3331,37.0,4,4,8,3,1,1,8,0
25,35,30,2762,30.7,1,0,1,1,0,0,12,0
26,8,5,404,4.5,0,0,0,0,0,0,1,0
27,37,32,2722,30.2,8,2,10,8,0,0,4,0
28,20,20,1800,20.0,0,1,1,0,0,0,0,0
29,23,14,1124,12.5,1,0,1,1,0,0,1,0
30,14,14,1140,12.7,2,2,4,1,1,1,3,0
31,13,6,529,5.9,0,0,0,0,0,0,0,0
32,33,13,1419,15.8,3,1,4,3,0,1,1,0
33,1,1,90,1.0,0,0,0,0,0,0,0,0
34,17,3,494,5.5,4,1,5,4,0,0,2,0
35,29,20,1929,21.4,3,3,6,3,0,0,1,0
36,8,6,471,5.2,0,0,0,0,0,0,2,0
37,13,3,459,5.1,0,1,1,0,0,0,1,0
38,14,6,553,6.1,0,2,2,0,0,0,1,0
39,31,23,1652,18.4,0,0,0,0,0,0,5,0
40,29,24,2149,23.9,2,0,2,2,0,0,4,1
41,21,7,857,9.5,3,1,4,3,0,0,1,0
42,7,0,47,0.5,0,0,0,0,0,0,2,0
43,37,19,1966,21.8,7,1,8,7,0,0,1,0
44,38,21,1914,21.3,8,0,8,8,0,0,3,0
45,30,28,2534,28.2,1,0,1,1,0,0,5,0
46,6,6,540,6.0,0,0,0,0,0,0,0,0
47,26,15,1248,13.9,1,1,2,1,0,0,5,0
48,1,1,90,1.0,0,0,0,0,0,0,0,0
49,26,23,1883,20.9,1,1,2,1,0,0,7,0
50,3,3,270,3.0,0,0,0,0,0,0,0,0
51,35,34,2905,32.3,0,1,1,0,0,0,5,0
52,23,11,965,10.7,1,3,4,1,0,0,2,0
53,37,17,1568,17.4,9,1,10,9,0,0,3,0
54,25,21,1890,21.0,1,2,3,1,0,0,4,0
55,11,7,603,6.7,0,0,0,0,0,0,4,0
