PlayerID,PlayerName,TeamID,Position,Age,Nationality
1,Brenden Aaronson,11,"MF,FW",24,us USA
2,Jerome Abbey,20,MF,15,eng ENG
3,Zach Abbott,16,DF,19,eng ENG
4,Tammy Abraham,2,FW,27,eng ENG
5,Joshua Acheampong,7,DF,19,eng ENG
6,Tyler Adams,3,MF,26,us USA
7,Tosin Adarabioyo,7,DF,27,eng ENG
8,Simon Adingra,17,"MF,FW",23,ci CIV
9,Amine Adli,3,MF,25,ma MAR
10,Emmanuel Agbadou,20,DF,28,ci CIV
11,Nayef Aguerd,19,DF,29,ma MAR
12,Ola Aina,16,DF,28,ng NGA
13,Rayan Aït-Nouri,13,DF,24,dz ALG
14,Kristoffer Ajer,4,DF,27,no NOR
15,Nathan Aké,13,DF,30,nl NED
16,Carlos Alcaraz,9,MF,22,ar ARG
17,Omar Alderete,17,DF,28,py PAR
18,Alisson,12,GK,32,br BRA
19,Max Alleyne,13,DF,20,eng ENG
20,Jaydon Amauri Banel,6,"FW,MF",20,nl NED
21,Zeki Amdouni,6,"FW,MF",24,ch SUI
22,Ethan Ampadu,11,MF,24,wls WAL
23,Joachim Andersen,10,DF,29,dk DEN
24,Elliot Anderson,16,MF,22,eng ENG
25,André,20,MF,24,br BRA
26,Nilson Angulo,17,MF,22,ec ECU
27,Jaidon Anthony,6,MF,25,eng ENG
28,Alphonse Areola,19,GK,32,fr FRA
29,Jhon Arias,20,"FW,MF",27,co COL
30,Adam Armstrong,20,"FW,MF",28,eng ENG
31,Harrison Armstrong,9,MF,18,eng ENG
32,Tolu Arokodare,20,FW,24,ng NGA
33,Kepa Arrizabalaga,1,GK,30,es ESP
34,Taiwo Awoniyi,16,FW,27,ng NGA
35,Yasin Ayari,5,MF,21,se SWE
36,Benoît Badiashile,7,DF,24,fr FRA
37,Leon Bailey,2,MF,27,jm JAM
38,Dilane Bakwa,16,MF,22,fr FRA
39,Carlos Baleba,5,MF,21,cm CMR
40,Daniel Ballard,17,DF,25,nir NIR
41,Ross Barkley,2,MF,31,eng ENG
42,Ashley Barnes,6,"FW,MF",35,eng ENG
43,Harvey Barnes,15,"FW,MF",27,eng ENG
44,Thierno Barry,9,FW,22,fr FRA
45,Calvin Bassey,10,DF,25,ng NGA
46,Altay Bayındır,14,GK,27,tr TUR
